year,locality,price,brick_cost
2006,South Delhi,8000,11.5
2006,East Delhi,2500,9.2
2006,East Delhi,5000,11.3
2006,West Delhi,2200,9.4
2006,West Delhi,4400,11.4
2006,Central Delhi,5000,9.7
2006,Central Delhi,10000,11.8
2007,North Delhi,3500,9.75
2007,North Delhi,7000,11.85
2007,South Delhi,4500,9.95
2007,South Delhi,9000,12.05
2007,East Delhi,3000,9.65
2007,East Delhi,6000,11.85
2007,West Delhi,2600,9.85
2007,West Delhi,5200,11.95
2007,Central Delhi,5500,10.15
2007,Central Delhi,11000,12.35
2008,North Delhi,4000,10.2
2008,North Delhi,8000,12.4
2008,South Delhi,5000,10.4
2008,South Delhi,10000,12.6
2008,East Delhi,3500,10.1
2008,East Delhi,7000,12.4
2008,West Delhi,3000,10.3
2008,West Delhi,6000,12.5
2008,Central Delhi,6000,11.6
2008,Central Delhi,12000,12.9
2009,North Delhi,4500,10.65
2009,North Delhi,9000,12.95
2009,South Delhi,5500,10.85
2009,South Delhi,11000,13.15
2009,East Delhi,4000,10.55
2009,East Delhi,8000,12.95
2009,West Delhi,3400,10.75
2009,West Delhi,6800,13.05
2009,Central Delhi,6500,11.05
2009,Central Delhi,13000,13.45
2010,North Delhi,5000,11.1
2010,North Delhi,10000,13.5
2010,South Delhi,6000,11.3
2010,South Delhi,12000,13.7
2010,East Delhi,4500,11
2010,East Delhi,9000,13.5
2010,West Delhi,3800,11.65
2010,West Delhi,7600,14.15
2010,Central Delhi,7000,11.5
2010,Central Delhi,14000,14
2011,North Delhi,5500,11.55
2011,North Delhi,11000,14.05
2011,South Delhi,6500,11.75
2011,South Delhi,13000,14.25
2011,East Delhi,5000,11.45
2011,East Delhi,10000,14.05
2011,West Delhi,4200,12.1
2011,West Delhi,8400,14.7
2011,Central Delhi,7500,11.95
2011,Central Delhi,15000,14.55
2012,North Delhi,6000,12
2012,North Delhi,12000,14.6
2012,South Delhi,7000,12.2
2012,South Delhi,14000,14.8
2012,East Delhi,5500,11.9
2012,East Delhi,11000,14.6
2012,West Delhi,4600,12.55
2012,West Delhi,9200,15.25
2012,Central Delhi,8000,12.4
2012,Central Delhi,16000,15.1
2013,North Delhi,6500,12.45
2013,North Delhi,13000,15.15
2013,South Delhi,7500,12.65
2013,South Delhi,15000,15.35
2013,East Delhi,6000,12.35
2013,East Delhi,12000,15.15
2013,West Delhi,5000,13
2013,West Delhi,10000,15.8
2013,Central Delhi,8500,12.85
2013,Central Delhi,17000,15.65
2014,North Delhi,7000,12.9
2014,North Delhi,14000,15.7
2014,South Delhi,8000,13.1
2014,South Delhi,16000,15.9
2014,East Delhi,6500,12.8
2014,East Delhi,13000,15.7
2014,West Delhi,5400,13.45
2014,West Delhi,10800,16.35
2014,Central Delhi,9000,13.3
2014,Central Delhi,18000,16.2
2015,North Delhi,7500,13.35
2015,North Delhi,15000,16.25
2015,South Delhi,8500,13.55
2015,South Delhi,17000,16.45
2015,East Delhi,7000,13.25
2015,East Delhi,14000,16.25
2015,West Delhi,5800,13.9
2015,West Delhi,11600,16.9
2015,Central Delhi,9500,13.75
2015,Central Delhi,19000,16.75
2016,North Delhi,8000,13.8
2016,North Delhi,16000,16.8
2016,South Delhi,9000,14
2016,South Delhi,18000,17
2016,East Delhi,7500,13.7
2016,East Delhi,15000,16.8
2016,West Delhi,6200,14.35
2016,West Delhi,12400,17.45
2016,Central Delhi,10000,14.2
2016,Central Delhi,20000,17.3
2017,North Delhi,9000,14.25
2017,North Delhi,17000,17.35
2017,South Delhi,9500,14.45
2017,South Delhi,19000,17.55
2017,East Delhi,8000,14.15
2017,East Delhi,16000,17.35
2017,West Delhi,6600,14.8
2017,West Delhi,13200,18
2017,Central Delhi,11000,14.65
2017,Central Delhi,22000,17.85
2018,North Delhi,9500,14.7
2018,North Delhi,18000,17.9
2018,South Delhi,10000,14.9
2018,South Delhi,20000,18.01
2018,East Delhi,8500,14.6
2018,East Delhi,17000,17.9
2018,West Delhi,7000,15.25
2018,West Delhi,14000,18.55
2018,Central Delhi,12000,15.1
2018,Central Delhi,24000,18.4
2019,North Delhi,10000,15.15
2019,North Delhi,19000,18.45
2019,South Delhi,11000,15.35
2019,South Delhi,22000,18.65
2019,East Delhi,9000,15.05
2019,East Delhi,18000,18.45
2019,West Delhi,7400,15.7
2019,West Delhi,14800,19.1
2019,Central Delhi,13000,15.55
2019,Central Delhi,26000,18.95
2020,North Delhi,10500,15.6
2020,North Delhi,20000,19
2020,South Delhi,12000,15.8
2020,South Delhi,24000,19.2
2020,East Delhi,9500,15.5
2020,East Delhi,19000,19
2020,West Delhi,8200,16.15
2020,West Delhi,15600,19.65
2020,Central Delhi,14000,16
2020,Central Delhi,28000,19.5
2021,North Delhi,11000,16.05
2021,North Delhi,22000,19.55
2021,South Delhi,13000,16.25
2021,South Delhi,26000,19.75
2021,East Delhi,10000,15.95
2021,East Delhi,20000,19.55
2021,West Delhi,8400,16.6
2021,West Delhi,16400,20.2
2021,Central Delhi,15000,16.45
2021,Central Delhi,30000,20.05
2022,North Delhi,12000,16.5
2022,North Delhi,24000,20.1
2022,South Delhi,14000,16.7
2022,South Delhi,28000,20.3
2022,East Delhi,10500,16.4
2022,East Delhi,21000,20.1
2022,West Delhi,8600,17.05
2022,West Delhi,17200,20.75
2022,Central Delhi,16000,16.9
2022,Central Delhi,32000,20.6
2023,North Delhi,13000,16.95
2023,North Delhi,26000,20.65
2023,South Delhi,15000,17.15
2023,South Delhi,30000,20.85
2023,East Delhi,11000,16.85
2023,East Delhi,22000,20.65
2023,West Delhi,9000,17.5
2023,West Delhi,18000,21.3
2023,Central Delhi,17000,17.35
2023,Central Delhi,34000,21.15
2024,North Delhi,14000,17.4
2024,North Delhi,28000,21.2
2024,South Delhi,16000,17.6
2024,South Delhi,32000,21.4
2024,East Delhi,11500,17.3
2024,East Delhi,23000,21.2
2024,West Delhi,9400,17.85
2024,West Delhi,18400,21.8
2024,Central Delhi,18000,17.8
2024,Central Delhi,36000,21.7
