year,locality,price,brick_cost
2011,Chennai,3500,10.62
2011,Chennai,7000,12.98
2011,Coimbatore,4200,10.35
2011,Coimbatore,8400,12.65
2011,Madurai,2400,9.86
2011,Madurai,4800,12.1
2011,Tiruchirappalli,2300,10.17
2011,Tiruchirappalli,4600,12.43
2011,Salem,2100,9.59
2011,Salem,4200,11.64
2012,Chennai,4000,11.07
2012,Chennai,8000,13.53
2012,Coimbatore,4600,10.8
2012,Coimbatore,9200,13.2
2012,Madurai,2600,10.29
2012,Madurai,5200,12.63
2012,Tiruchirappalli,2500,10.62
2012,Tiruchirappalli,5000,12.98
2012,Salem,2300,10.1
2012,Salem,4600,12.15
2013,Chennai,4500,11.52
2013,Chennai,9000,14.08
2013,Coimbatore,5000,11.25
2013,Coimbatore,10000,13.75
2013,Madurai,2600,10.72
2013,Madurai,5400,13.16
2013,Tiruchirappalli,2700,11.07
2013,Tiruchirappalli,5400,13.53
2013,Salem,2500,10.43
2013,Salem,5000,12.66
2014,Chennai,5000,11.97
2014,Chennai,10000,14.63
2014,Coimbatore,5400,11.7
2014,Coimbatore,10800,14.3
2014,Madurai,2800,11.15
2014,Madurai,5600,13.69
2014,Tiruchirappalli,2900,11.52
2014,Tiruchirappalli,5800,14.08
2014,Salem,2700,10.85
2014,Salem,5400,13.17
2015,Chennai,5500,12.42
2015,Chennai,11000,15.18
2015,Coimbatore,5800,12.15
2015,Coimbatore,10600,14.85
2015,Madurai,3000,11.58
2015,Madurai,6000,14.22
2015,Tiruchirappalli,3100,11.97
2015,Tiruchirappalli,6200,14.63
2015,Salem,2900,11.27
2015,Salem,5800,16.38
2016,Chennai,6000,12.87
2016,Chennai,12000,15.73
2016,Coimbatore,6200,12.6
2016,Coimbatore,12400,15.4
2016,Madurai,3200,12.01
2016,Madurai,3400,14.75
2016,Tiruchirappalli,3300,12.42
2016,Tiruchirappalli,6600,15.18
2016,Salem,3100,11.69
2016,Salem,6200,14.19
2017,Chennai,6500,13.32
2017,Chennai,13000,16.28
2017,Coimbatore,6600,13.05
2017,Coimbatore,13200,15.95
2017,Madurai,3400,12.44
2017,Madurai,6800,15.28
2017,Tiruchirappalli,3500,12.87
2017,Tiruchirappalli,7000,14.73
2017,Salem,3300,12.11
2017,Salem,6600,14.7
2018,Chennai,7000,13.77
2018,Chennai,14000,16.83
2018,Coimbatore,7000,13.5
2018,Coimbatore,14000,16.5
2018,Madurai,3600,12.87
2018,Madurai,7200,15.81
2018,Tiruchirappalli,3700,13.32
2018,Tiruchirappalli,7400,16.28
2018,Salem,3500,12.53
2018,Salem,7000,15.21
2019,Chennai,7500,14.22
2019,Chennai,15000,13.38
2019,Coimbatore,7400,13.95
2019,Coimbatore,14800,17.05
2019,Madurai,3800,13.3
2019,Madurai,7600,16.34
2019,Tiruchirappalli,3900,13.77
2019,Tiruchirappalli,7800,16.83
2019,Salem,3700,12.95
2019,Salem,7400,15.72
2020,Chennai,8000,14.67
2020,Chennai,16000,17.93
2020,Coimbatore,7800,14.4
2020,Coimbatore,15600,17.6
2020,Madurai,4000,13.73
2020,Madurai,8000,16.87
2020,Tiruchirappalli,4100,14.22
2020,Tiruchirappalli,8200,17.38
2020,Salem,3900,13.37
2020,Salem,7800,16.23
2021,Chennai,8500,15.12
2021,Chennai,17000,18.48
2021,Coimbatore,8200,14.85
2021,Coimbatore,15600,18.15
2021,Madurai,4200,14.16
2021,Madurai,8400,17.4
2021,Tiruchirappalli,4300,14.67
2021,Tiruchirappalli,8600,17.93
2021,Salem,4100,13.79
2021,Salem,8200,16.74
2022,Chennai,9000,15.57
2022,Chennai,18000,19.03
2022,Coimbatore,8600,15.3
2022,Coimbatore,16400,18.7
2022,Madurai,4400,14.59
2022,Madurai,8800,17.93
2022,Tiruchirappalli,4500,15.12
2022,Tiruchirappalli,9000,18.48
2022,Salem,4300,14.21
2022,Salem,8600,17.25
2023,Chennai,9500,16.02
2023,Chennai,19000,19.58
2023,Coimbatore,9000,15.75
2023,Coimbatore,17200,19.25
2023,Madurai,4600,15.02
2023,Madurai,9200,18.46
2023,Tiruchirappalli,4700,15.57
2023,Tiruchirappalli,9400,19.03
2023,Salem,4500,14.63
2023,Salem,9000,17.76
2024,Chennai,10000,16.47
2024,Chennai,20000,20.13
2024,Coimbatore,9400,16.2
2024,Coimbatore,18000,19.8
2024,Madurai,4800,15.45
2024,Madurai,9600,18.99
2024,Tiruchirappalli,4900,16.02
2024,Tiruchirappalli,9800,19.58
2024,Salem,4700,15.05
2024,Salem,9100,18.27
